2026-05-10 12:44:03,866 | WARNING | GDELT status=429. Sleeping 15.4s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:44:21,241 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:44:52,670 | WARNING | GDELT status=429. Sleeping 15.6s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:45:37,962 | WARNING | GDELT status=429. Sleeping 15.9s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:46:10,925 | INFO | Ticker ACHC fallback split window 2018-01-01 -> 2018-01-31 got 40 articles
2026-05-10 12:46:10,988 | INFO | Ticker ACHC reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:46:10,988 | INFO | Ticker ACHC done. months_processed=1 kept_articles=30
2026-05-10 12:46:29,706 | WARNING | GDELT status=429. Sleeping 15.3s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:46:47,459 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:47:24,451 | WARNING | GDELT status=429. Sleeping 15.1s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:47:43,163 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:48:16,877 | WARNING | GDELT status=429. Sleeping 15.0s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:48:37,155 | INFO | Ticker ACHV fallback split window 2018-01-01 -> 2018-01-31 got 18 articles
2026-05-10 12:48:37,229 | INFO | Ticker ACHV reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:48:37,230 | INFO | Ticker ACHV done. months_processed=1 kept_articles=18
2026-05-10 12:48:54,803 | WARNING | GDELT status=429. Sleeping 15.1s then retry/skip. query=("Axcelis Technologies" OR "Axcelis Technologies earnings" OR "Axcelis Technologies stock") sourcelang:english
2026-05-10 12:49:12,402 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Axcelis Technologies" OR "Axcelis Technologies earnings" OR "Axcelis Technologies stock") sourcelang:english
