ticker,company_name,exchange,periods_total,total_articles,periods_active,periods_pass,active_ratio,pass_ratio,avg_articles_per_period,median_articles_per_period,p25_articles_per_period,avg_articles_per_month,median_articles_per_month,keep
ASMB,Assembly Biosciences,Inc. - Common Stock,96,1140.0,93,68,0.9688,0.7083,11.875,7.0,3.0,11.875,7.0,True
ASPN,Aspen Aerogels,Inc. Common Stock,96,1922.0,95,91,0.9896,0.9479,20.021,19.0,10.75,20.021,19.0,True
ASR,Grupo Aeroportuario del Sureste,S.A. de C.V. Common Stock,96,852.0,91,66,0.9479,0.6875,8.875,5.5,3.0,8.875,5.5,True
ASTE,Astec Industries,Inc. - Common Stock,96,2146.0,96,86,1.0,0.8958,22.354,12.5,6.0,22.354,12.5,True
ASTI,Ascent Solar Technologies,Inc - Common Stock,96,618.0,92,59,0.9583,0.6146,6.438,5.0,2.75,6.438,5.0,True
ASTS,AST SpaceMobile,Inc. - Class A Common Stock,96,3088.0,64,61,0.6667,0.6354,32.167,20.0,0.0,32.167,20.0,True
ASX,ASE Technology Holding Co.,Ltd. American Depositary Shares (each representing Two Common Shares),96,1751.0,90,90,0.9375,0.9375,18.24,18.0,12.0,18.24,18.0,True
ASYS,Amtech Systems,Inc. - Common Stock,96,580.0,87,58,0.9062,0.6042,6.042,4.0,2.0,6.042,4.0,True
ATEN,A10 Networks,Inc. Common Stock,96,2755.0,95,84,0.9896,0.875,28.698,19.0,10.0,28.698,19.0,True
ATER,Aterian,Inc. - Common Stock,96,986.0,93,72,0.9688,0.75,10.271,6.0,3.75,10.271,6.0,True
ATNI,ATN International,Inc. - Common Stock,96,1089.0,93,79,0.9688,0.8229,11.344,8.5,5.0,11.344,8.5,True
ATNM,Actinium Pharmaceuticals,Inc. (Delaware) Common Stock,96,1249.0,89,78,0.9271,0.8125,13.01,8.5,4.0,13.01,8.5,True
ATR,AptarGroup,Inc. Common Stock,96,3588.0,96,95,1.0,0.9896,37.375,31.5,16.75,37.375,31.5,True
ATRA,Atara Biotherapeutics,Inc. - Common Stock,96,2280.0,96,89,1.0,0.9271,23.75,16.5,8.75,23.75,16.5,True
ATRO,Astronics Corporation - Common Stock,NASDAQ,96,1791.0,95,81,0.9896,0.8438,18.656,13.0,5.0,18.656,13.0,True
AUDC,AudioCodes Ltd. - Ordinary Shares,NASDAQ,96,784.0,84,59,0.875,0.6146,8.167,5.0,2.0,8.167,5.0,True
AUR,Aurora Innovation,Inc.  - Class A Common Stock,96,3544.0,96,94,1.0,0.9792,36.917,20.5,11.75,36.917,20.5,True
AVAV,AeroVironment,Inc. - Common Stock,96,11388.0,96,96,1.0,1.0,118.625,113.0,67.75,118.625,113.0,True
AVGO,Broadcom Inc. - Common Stock,NASDAQ,96,18462.0,96,96,1.0,1.0,192.312,174.0,135.75,192.312,174.0,True
AVNS,Avanos Medical,Inc. Common Stock,96,1434.0,91,79,0.9479,0.8229,14.938,13.0,5.0,14.938,13.0,True
AVNW,Aviat Networks,Inc. - Common Stock,96,1354.0,93,80,0.9688,0.8333,14.104,13.5,6.0,14.104,13.5,True
AVO,Mission Produce,Inc. - Common Stock,96,6836.0,96,96,1.0,1.0,71.208,49.0,30.75,71.208,49.0,True
AVPT,AvePoint,Inc. - Class A Common Stock,96,1149.0,96,91,1.0,0.9479,11.969,10.0,6.75,11.969,10.0,True
AVT,Avnet,Inc. - Common Stock,96,6089.0,96,96,1.0,1.0,63.427,48.5,27.0,63.427,48.5,True
AWK,American Water Works Company,Inc. Common Stock,96,1973.0,96,92,1.0,0.9583,20.552,14.5,8.0,20.552,14.5,True
AXGN,Axogen,Inc. - Common Stock,96,1990.0,95,79,0.9896,0.8229,20.729,10.5,5.0,20.729,10.5,True
AXON,Axon Enterprise,Inc. - Common Stock,96,6246.0,96,96,1.0,1.0,65.062,56.0,36.75,65.062,56.0,True
AXS,Axis Capital Holdings Limited Common Stock,N,96,1255.0,95,89,0.9896,0.9271,13.073,10.5,5.75,13.073,10.5,True
AXSM,Axsome Therapeutics,Inc. - Common Stock,96,2376.0,95,95,0.9896,0.9896,24.75,17.5,12.0,24.75,17.5,True
AXTI,AXT Inc - Common Stock,NASDAQ,96,977.0,88,65,0.9167,0.6771,10.177,5.5,2.0,10.177,5.5,True
AZO,AutoZone,Inc. Common Stock,96,24428.0,96,96,1.0,1.0,254.458,165.5,115.0,254.458,165.5,True
AZZ,AZZ Inc.,N,96,1840.0,95,82,0.9896,0.8542,19.167,8.5,5.75,19.167,8.5,True
